PATH,GENRE AS SHOWN ON THE STORE,GENRE CODE FOR METADATA,GENRE ID
Music | Jazz | Smooth Jazz,Smooth Jazz,SMOOTH-JAZZ-00,1114
Music | Jazz | Trad Jazz,Trad Jazz,TRAD-JAZZ-00,1208
Music | Jazz | Vocal Jazz,Vocal Jazz,VOCAL-JAZZ-00,1175
Music | Jewish,Jewish,JEWISH-MUSIC-00,50000121
Music | Jewish | Jewish Holidays,Jewish Holidays,JEWISH-HOLIDAYS-00,50000124
Music | Jewish | Klezmer ,Klezmer,KLEZMER-01,1187
Music | Karaoke,Karaoke,KARAOKE-00,52
Music | Kayokyoku,Kayokyoku,KAYOKYOKU-00,30
Music | Korean,Korean,KOREAN-00,1243
Music | Korean | Korean Traditional,Korean Traditional,KOREAN-CLASSICAL-00,1244
Music | Latin,Latin,LATIN-00,12
Music | Latin | Alternative & Rock in Spanish,Alternative & Rock in Spanish,ALTERNATIVO-ROCK-LATINO-00,1121
Music | Latin | Baladas y Boleros,Baladas y Boleros,BALADAS-Y-BOLEROS-00,1120
Music | Latin | Contemporary Latin,Contemporary Latin,CONTEMPORARY-LATIN-00,1116
Music | Latin | Latin Urban,Latin Urban,REGGAETON-Y-HIP-HOP-00,1119
Music | Latin | Pop in Spanish,Pop in Spanish,POP-LATINO-00,1117
Music | Latin | Raices,Raices,RAICES-00,1118
Music | Latin | Regional Mexicano,Regional Mexicano,REGIONAL-MEXICANO-00,1123
Music | Latin | Salsa y Tropical,Salsa y Tropical,SALSA-Y-TROPICAL-00,1124
Music | Marching Bands,Marching Bands,MARCHING-BANDS-00,1291
Music | New Age,New Age,NEW-AGE-00,13
Music | New Age | Healing,Healing,HEALING-00,1126
Music | New Age | Meditation,Meditation,MEDITATION-00,1127
Music | New Age | Nature,Nature,NATURE-00,1128
Music | New Age | Relaxation,Relaxation,RELAXATION-00,1129
Music | New Age | Travel,Travel,TRAVEL-00,1130
Music | New Age | Yoga,Yoga,YOGA-00,100021
Music | Pop,Pop,POP-00,14
Music | Pop | Adult Contemporary,Adult Contemporary,ADULT-CONTEMPORARY-00,1131
Music | Pop | Britpop,Britpop,BRITPOP-00,1132
Music | Pop | Cantopop,Cantopop,CANTOPOP-HK-POP-00,1251
Music | Pop | Egyptian Pop,Egyptian Pop,EGYPTIAN-POP-00,100090
Music | Pop | Indo Pop,Indo Pop,INDO-POP-00,1259
Music | Pop | Iraqi Pop,Iraqi Pop,IRAQI-POP-00,100089
Music | Pop | K-Pop,K-Pop,K-POP-00,51
Music | Pop | Khaleeji Pop,Khaleeji Pop,KHALEEJI-POP-00,100092
Music | Pop | Korean Folk-Pop,Korean Folk-Pop,KOREAN-FOLK-POP-00,1252
Music | Pop | Levant Pop,Levant Pop,LEVANT-POP-00,100088
Music | Pop | Maghreb Pop,Maghreb Pop,MAGHREB-POP-00,100091
Music | Pop | Malaysian Pop,Malaysian Pop,MALAYSIAN-POP-00,1255
Music | Pop | Mandopop,Mandopop,MANDOPOP-00,1253
Music | Pop | Manilla Sound,Manilla Sound,MANILLA-SOUND-00,1258
Music | Pop | Oldies,Oldies,OLDIES-00,1293
Music | Pop | Original Pilipino Music,Original Pilipino Music,ORIGINAL-PILIPINO-MUSIC-00,1257
Music | Pop | Pinoy Pop,Pinoy Pop,PINOY-POP-00,1256
Music | Pop | Pop/Rock,Pop/Rock,POP-ROCK-00,1133
Music | Pop | Russian Pop,Russian Pop,RUSSIAN-POP-00,100076
Music | Pop | Shows,Shows,SHOWS-00,100023
Music | Pop | Soft Rock,Soft Rock,SOFT-ROCK-00,1134
Music | Pop | T-Pop,T-Pop,T-POP-00,50000163
Music | Pop | Tai-Pop,Tai-Pop,TAI-POP-00,1254
Music | Pop | Teen Pop,Teen Pop,TEEN-POP-00,1135
Music | Pop | Thai Pop,Thai Pop,THAI-POP-00,1260
Music | Pop | Turkish Pop,Turkish Pop,TURKISH-POP-00,100069
Music | R&B/Soul,R&B/Soul,R-B-SOUL-00,15
Music | R&B/Soul | Contemporary R&B,Contemporary R&B,CONTEMPORARY-R-B-00,1136
Music | R&B/Soul | Disco,Disco,DISCO-00,1137
Music | R&B/Soul | Doo Wop,Doo Wop,DOO-WOP-00,1138
Music | R&B/Soul | Funk,Funk,FUNK-00,1139
Music | R&B/Soul | Motown,Motown,MOTOWN-00,1140
Music | R&B/Soul | Neo-Soul,Neo-Soul,NEO-SOUL-00,1141
Music | R&B/Soul | Soul,Soul,SOUL-00,1143
Music | Reggae,Reggae,REGGAE-00,24
Music | Reggae | Dub,Dub,DUB-00,1193
Music | Reggae | Lovers Rock,Lovers Rock,LOVERS-ROCK-00,100017
Music | Reggae | Modern Dancehall,Modern Dancehall,DANCEHALL-00,1183
Music | Reggae | Roots Reggae,Roots Reggae,ROOTS-REGGAE-00,1192
Music | Reggae | Ska,Ska,SKA-00,1194
Music | Rock,Rock,ROCK-00,21
Music | Rock | Adult Alternative,Adult Alternative,ADULT-ALTERNATIVE-00,1144
Music | Rock | American Trad Rock,American Trad Rock,AMERICAN-TRAD-ROCK-00,1145
Music | Rock | Arena Rock,Arena Rock,ARENA-ROCK-00,1146
Music | Rock | Blues-Rock,Blues-Rock,BLUES-ROCK-00,1147
Music | Rock | British Invasion,British Invasion,BRITISH-INVASION-00,1148
Music | Rock | Chinese Rock,Chinese Rock,CHINESE-ROCK-00,1248
Music | Rock | Death Metal/Black Metal,Death Metal/Black Metal,DEATH-METAL-BLACK-METAL-00,1149
Music | Rock | Glam Rock,Glam Rock,GLAM-ROCK-00,1150
Music | Rock | Hair Metal,Hair Metal,HAIR-METAL-00,1151
Music | Rock | Hard Rock,Hard Rock,HARD-ROCK-00,1152
Music | Rock | Heavy Metal,Heavy Metal,HEAVY-METAL-00,1153
Music | Rock | Jam Bands,Jam Bands,JAM-BANDS-00,1154
Music | Rock | Korean Rock,Korean Rock,KOREAN-ROCK-00,1249
Music | Rock | Prog-Rock/Art Rock,Prog-Rock/Art Rock,PROG-ROCK-ART-ROCK-00,1155
Music | Rock | Psychedelic,Psychedelic,PSYCHEDELIC-00,1156
Music | Rock | Rock & Roll,Rock & Roll,ROCK-ROLL-00,1157
Music | Rock | Rockabilly,Rockabilly,ROCKABILLY-00,1158
Music | Rock | Roots Rock,Roots Rock,ROOTS-ROCK-00,1159
Music | Rock | Russian Rock,Russian Rock,RUSSIAN-ROCK-00,100077
Music | Rock | Southern Rock,Southern Rock,SOUTHERN-ROCK-00,1161
Music | Rock | Surf,Surf,SURF-00,1162
Music | Rock | Tex-Mex,Tex-Mex,TEX-MEX-00,1163
Music | Rock | Turkish Rock,Turkish Rock,TURKISH-ROCK-00,100070
Music | Russian,Russian,RUSSIAN-00,1299
Music | Russian | Russian Bard,Russian Bard,RUSSIAN-BARD-00,100075
Music | Russian | Russian Chanson,Russian Chanson,RUSSIAN-CHANSON-00,1270
Music | Russian | Russian Romance,Russian Romance,RUSSIAN-ROMANCE-00,100074
Music | Singer/Songwriter,Singer/Songwriter,SINGER-SONGWRITER-00,10
Music | Singer/Songwriter | Alternative Folk,Alternative Folk,ALTERNATIVE-FOLK-00,1062
Music | Singer/Songwriter | Contemporary Folk,Contemporary Folk,CONTEMPORARY-FOLK-00,1063
Music | Singer/Songwriter | Contemporary Singer/Songwriter,Contemporary Singer/Songwriter,CONTEMPORARY-SINGER-SONGWRITER-00,1064
Music | Singer/Songwriter | Folk-Rock,Folk-Rock,FOLK-ROCK-00,1065
Music | Singer/Songwriter | New Acoustic,New Acoustic,NEW-ACOUSTIC-00,1066
Music | Singer/Songwriter | Traditional Folk,Traditional Folk,TRADITIONAL-FOLK-00,1067
Music | Soundtrack,Soundtrack,SOUNDTRACK-00,16
Music | Soundtrack | Foreign Cinema,Foreign Cinema,FOREIGN-CINEMA-00,1165
Music | Soundtrack | Musicals,Musicals,MUSICALS-00,1166
Music | Soundtrack | Original Score,Original Score,ORIGINAL-SCORE-00,1168
Music | Soundtrack | Sound Effects,Sound Effects,SOUND-EFFECT-00,1288
Music | Soundtrack | TV Soundtrack,TV Soundtrack,TV-SOUNDTRACK-00,1172
Music | Soundtrack | Video Game,Video Game,VIDEOGAME-00,100032
Music | Spoken Word,Spoken Word,SPOKEN-WORD-00,50000061
Music | Tarab,Tarab,TARAB-00,100084
Music | Tarab | Egyptian Tarab,Egyptian Tarab,EGYPTIAN-TARAB-00,100086
Music | Tarab | Iraqi Tarab,Iraqi Tarab,IRAQI-TARAB-00,100085
Music | Tarab | Khaleeji Tarab,Khaleeji Tarab,KHALEEJI-TARAB-00,100087
Music | Turkish,Turkish,TURKISH-00,1300
Music | Turkish | Arabesk,Arabesk,ARABESQUE-00,1280
Music | Turkish | Fantezi,Fantezi,FANTEZI-00,100067
Music | Turkish | Halk,Halk,HALK-00,1272
Music | Turkish | Religious,Religious,RELIGIOUS-00,100068
Music | Turkish | Sanat,Sanat,SANAT-00,1273
Music | Turkish | Özgün,Özgün,OZGUN-00,100066
Music | Vocal,Vocal,VOCAL-00,23
Music | Vocal | Standards,Standards,STANDARDS-00,1173
Music | Vocal | Traditional Pop,Traditional Pop,TRADITIONAL-POP-00,1174
Music | Vocal | Trot,Trot,TROT-00,1261
Music | Vocal | Vocal Pop,Vocal Pop,VOCAL-POP-00,1176
Music | Worldwide,Worldwide,WORLD-00,19
